ngrams;DF;IDF
<number> ;230502;0.409698358084028
<runway> ;171883;0.537140130937211
CLOSED ;147532;0.603486826160178
AREA ;138463;0.631039319083379
<number> <number> ;117530;0.70222431992288
RUNWAY ;103206;0.758668109838786
ACTIVATED ;102220;0.762837179455967
UNSERVICEABLE ;97943;0.781399653723068
<height> ;89454;0.820773290947228
TAXIWAY ;83554;0.850405810267741
<coordinate> ;82503;0.855903315285776
<distance> ;82172;0.857649198596592
NOT ;80449;0.866852405989187
AREA ACTIVATED ;77204;0.884733254017629
<flightlevel> ;75584;0.893943184477784
<number> <number> <number> ;75463;0.894638989671545
AERODROME ;74375;0.90094607733858
DUE ;70281;0.925535123806962
GROUND ;66192;0.951567552523748
SURFACE ;65533;0.955913006330198
AVAILABLE ;65158;0.958405310737888
WILL ;64945;0.959827334938599
SERVICE ;64242;0.964554003016219
SYSTEM ;59944;0.994627336485141
AIRCRAFT ;58524;1.00503905443599
INSTRUMENT ;57847;1.01009221512501
RESTRICTED ;55589;1.02738419456385
RESTRICTED AREA ;53508;1.04395433767795
APPROACH ;53324;1.04545033632417
TAXIWAY CLOSED ;52619;1.05123046581483
BETWEEN ;52302;1.05385475970588
RESTRICTED AREA ACTIVATED ;51083;1.06409666150912
WITHIN ;50800;1.06650934379127
TAKE ;49824;1.07493446518716
PLACE ;48432;1.08724065246269
LANDING ;48312;1.08831803947493
TAKE PLACE ;47832;1.09265451566309
WILL TAKE ;47776;1.09316327003025
WILL TAKE PLACE ;47752;1.09338149019157
ACTIVE ;47303;1.0974843711063
CLOSED TAXIWAY ;46967;1.1005802354077
TAXIWAY CLOSED TAXIWAY ;46476;1.10514431304148
NOT AVAILABLE ;45272;1.11654337514791
OBSERVATION ;43855;1.13035394073076
OBSERVATION <number> ;42387;1.14514037622674
LANDING SYSTEM ;41028;1.15929270923097
INSTRUMENT LANDING ;41023;1.15934563905296
INSTRUMENT LANDING SYSTEM ;41019;1.15938798755565
FLIGHT ;40664;1.16316295938054
TEMPORARY ;40094;1.16929367003495
<runway> CLOSED ;39826;1.17220636666719
WET ;39317;1.17779268356695
<coordinate> <coordinate> ;38836;1.18313856365968
RUNWAY CLOSED ;38123;1.19118598697929
RADIUS ;37924;1.193458918171
<coordinate> <coordinate> <coordinate> ;36822;1.20626568240761
AIRSPACE ;36621;1.20864285678258
CLOSED <runway> ;35819;1.21825959908881
RUNWAY CLOSED <runway> ;35601;1.22091085899045
AIP ;33859;1.24269892867247
CLOSED <runway> CLOSED ;33650;1.24538798751519
INFORMATION ;33426;1.2482886472321
RUNWAY <runway> ;32974;1.25420142247292
CONTROL ;32493;1.26058324552128
<runway> <number> ;32006;1.26714165517305
FOLLOW ;31004;1.28095532785829
WIP ;30711;1.28507909806874
TEMPORARY RESTRICTED ;30538;1.28753246531307
ROUTE ;30470;1.28850060185251
TEMPORARY RESTRICTED AREA ;30357;1.29011420544666
WET OBSERVATION ;30260;1.29150413238802
WET OBSERVATION <number> ;30245;1.29171946723182
<frequency> ;30186;1.29256748836579
DISTANCE ;29939;1.29613576580412
RUNWAY <runway> <number> ;29400;1.30402572566303
PCT ;29320;1.3052090901061
<number> PCT ;29311;1.30534242060934
EXCEPT ;28934;1.31096457894834
<runway> <number> <number> ;28813;1.31278457684318
CHANGED ;28797;1.31302580968085
NAVIGATION ;28138;1.32307983077433
<number> <number> PCT ;27781;1.32862518160428
EQUIPMENT ;27604;1.33140103734122
GLOBAL_POSITIONING_SYSTEM ;27573;1.33188903525179
RANGE ;27195;1.337883992924
REF ;26236;1.35347543384519
PROCEDURE ;26116;1.35546639614276
DANGER ;26089;1.35591562330709
MEASURING ;26036;1.35679879320534
DANGER AREA ;25891;1.35922423136087
MEASURING EQUIPMENT ;25860;1.35974453553081
DISTANCE MEASURING ;25835;1.3601645901935
DISTANCE MEASURING EQUIPMENT ;25819;1.36043363855114
<number> PCT WET ;25818;1.36045045960899
PCT WET ;25818;1.36045045960899
RADIO ;25752;1.36156209239763
GROUND <height> ;25539;1.36516916796315
SURFACE <height> ;25065;1.37330534712611
MILITARY ;24893;1.37629581696223
DANGER AREA ACTIVATED ;24854;1.37697676207507
HOURS ;24436;1.38434293961521
CLOSED DUE ;24336;1.38612385936626
LIMITED ;24189;1.38875514155617
<flightlevel> <flightlevel> ;23897;1.39402967250042
DIRECTIONAL ;23162;1.40759699879776
SYSTEM UNSERVICEABLE ;22810;1.41424777079854
BETWEEN TAXIWAY ;22568;1.41887998292788
PCT WET OBSERVATION ;22564;1.41895696502183
RADAR ;22447;1.42121474951116
NOW ;22019;1.42957546461582
HOURS SERVICE ;22004;1.42987141979746
SYSTEM <runway> ;21980;1.43034536798771
ATS ;21958;1.43078027532989
SERVICE NOW ;21852;1.43288186423264
HOURS SERVICE NOW ;21849;1.43294149140125
REMARK ;21743;1.43505359021826
MAINTENANCE ;21719;1.43553323076058
VHF ;21712;1.43567322575952
UNSERVICEABLE INSTRUMENT ;21515;1.43963170565661
UNSERVICEABLE INSTRUMENT LANDING ;21494;1.44005581153421
LANDING SYSTEM <runway> ;21443;1.44108751048818
EAST ;21394;1.44208106460703
RADIUS <distance> ;21018;1.44978166837385
OMNI ;20793;1.45445590250843
RADIO RANGE ;20793;1.45445590250843
OMNI DIRECTIONAL ;20783;1.45466481846488
DIRECTIONAL RADIO ;20780;1.45472751285403
DIRECTIONAL RADIO RANGE ;20772;1.45489474215217
OMNI DIRECTIONAL RADIO ;20772;1.45489474215217
VHF OMNI ;20772;1.45489474215217
VHF OMNI DIRECTIONAL ;20772;1.45489474215217
LEVEL ;20504;1.460534462899
SURFACE <flightlevel> ;20288;1.46513381987355
POSITION ;20227;1.46644158161187
LIGHTING ;20031;1.47067042512204
FROM ;19827;1.47511604948509
REF AIP ;19821;1.47524749454721
MAINTAIN ;19750;1.47680595611271
UNSERVICEABLE <runway> ;19656;1.47887791260316
APRON ;19579;1.4805825496894
MAINTAIN MAINTENANCE ;19203;1.48900397415973
LIGHT ;19029;1.49295708995806
AIR ;18669;1.50125200037105
WITHIN <distance> ;18555;1.50391209739038
AIRSPACE CLOSED ;18497;1.50527175951522
