code,sign,abbr
LA,Approach lighting system,apch lgt
LB,Aerodrome beacon,abn
LC,Runway center line lights,rwy centreline lgt
LD,Landing direction indicator lights,ldi lgt
LE,Runway edge lights,rwy edge lgt
LF,Sequenced flashing lights,sequenced flg lgt
LH,High intensity runway lights,high intst rwy lgt
LI,Runway end identifier lights,rwy end id lgt
LJ,Runway alignment indicator lights,rwy alignment indicator lgt
LK,Category II components of approach lighting system,category II components apch lgt
LL,Low intensity runway lights,low intst rwy lgt
LM,Medium intensity runway lights,medium intst rwy lgt
LP,Precision approach path indicator,papi
LR,All landing area lighting facilities,ldg area lgt fac
LS,Stopway lights,swy lgt
LT,Threshold lights,thr lgt
LV,Visual approach slope indicator system,vasis
LW,Heliport lighting,heliport lgt
LX,Taxiway centre line lights,twy centreline lgt
LY,Taxiway edge lights,twy edge lgt
LZ,Runway touchdown zone lights,rwy tdz lgt
MA,Movement area,mov area
MB,Bearing strength,bearing strength
MC,Clearway,cwy
MD,Declared distances,declared dist
MG,Taxiing guidance system,tax guidance system
MH,Runway arresting gear,rwy arst gear
MK,Parking area,prkg area
MM,Daylight markings,day markings
MN,Apron,apron
MP,Aircraft stands,acft stand
MR,Runway,rwy
MS,Stopway,swy
MT,Threshold,thr
MU,Runway turning bay,rwy turning bay
MW,Strip,strip
MX,Taxiway,twy
FA,Aerodrome,ad
FB,Braking action measurement equipment,ba measurement eqpt
FC,Ceiling measurement equipment,ceiling measurement eqpt
FD,Docking system,dckg system
FF,Fire fighting and rescue,fire and rescue
FG,Ground movement control,gnd mov ctl
FH,Helicopter alighting area/platform,hel alighting area
FL,Landing direction indicator,ldi
FM,Meteorological service,met
FO,Fog dispersal system,fog dispersal
FP,Heliport,heliport
FS,Snow removal equipment,snow removal eqpt
FT,Transmissometer,transmissometer
FU,Fuel availability,fuel avbl
FW,Wind direction indicator,wdi
FZ,Customs,cust
CA,Air ground,a/g fac
CE,En route surveillance radar,rsr
CG,Ground controlled approach system,gca
CL,Selective calling system,selcal
CM,Surface movement radar,smr
CP,Precision approach radar,par
CR,Surveillance radar element of precision approach radar system,sre
CS,Secondary surveillance radar,ssr
CT,Terminal area surveillance radar,tar
ID,DME associated with ILS,ils dme
IG,Glide path ILS,ils gp
II,Inner marker ILS,ils im
IL,Localizer ILS,ils liz
IM,Middle marker ILS,ils mm
IO,Outer marker ILS,ils om
IS,ILS Category I,ils I
IT,ILS Category II,ils II
IU,ILS Category III,ils III
IW,Microwave landing system,mls
IX,Locator outer ILS,ils lo
IY,Locator middle ILS,ils lm
NA,All radio navigation facilities,all rdo nav fac
NB,Nondirectional radio beacon,ndb
NC,DECCA,decca
ND,Distance measuring equipment,dme
NF,Fan marker,fan mkr
NL,Locator,l
NM,VOR DME,vor/dme
NN,TACAN,tacan
NO,OMEGA,omega
NT,VORTAC,vortac
NV,VOR,vor
NX,Direction finding station,df
AA,Minimum altitude,mnm alt
AC,Class B C D or E Surface Area,ctr
AD,Air defense identification zone,adiz
AE,Control area,cta
AF,Flight information region,fir
AH,Upper control area,uta
AL,Minimum usable flight level,mnm usable fl
AN,Area navigation route,rnav route
AO,Oceanic control area,oca
AP,Reporting point,rep
AR,ATS route,ats route
AT,Class B Airspace,tma
AU,Upper flight information region,uir
AV,Upper advisory area,uda
AX,Intersection,int
AZ,Aerodrome traffic zone,atz
SA,Automatic terminal information service,atis
SB,ATS reporting office,aro
SC,Area control centre,acc
SE,Flight information service,fis
SF,Aerodrome flight information service,afis
SL,Flow control centre,flow ctl centre
SO,Oceanic area control centre,oac
SP,Approach control service,app
SS,Flight service station,fss
ST,Aerodrome control tower,twr
SU,Upper area control centre,uac
SV,VOLMET broadcast,volmet
SY,Upper advisory service,advisory ser
PA,Standard instrument arrival,star
PD,Standard instrument departure,sid
PF,Flow control procedure,flow ctl proc
PH,Holding procedure,hldg proc
PI,Instrument approach procedure,inst apch proc
PL,Obstacle clearance limit,ocl
PM,Aerodrome operating minima,opr minima
PO,Obstacle clearance altitude,oca
PP,Obstacle clearance height,och
PR,Radio failure procedure,radio failure proc
PT,Transition altitude,transition alt
PU,Missed approach procedure,missed apch proc
PX,Minimum holding altitude,mnm hldg alt
PZ,ADIZ procedure,adiz proc
RA,Airspace reservation,airspace reservation
RD,Danger area,..d..
RO,Overflying of,overflying
RP,Prohibited area,..p..
RR,Restricted area,..r..
RT,Temporary restricted area,tempo restricted
WA,Air display,air display
WB,Aerobatics,aerobatics
WC,Captive balloon or kite,captive balloon or kite
WD,Demolition of explosives,demolition of explosives
WE,Exercises,exer
WF,Air refueling,air refueling
WG,Glider flying,glider flying
WJ,Banner target towing,banner/target towing
WL,Ascent of free balloon,ascent of free balloon
WM,"Missile, gun or rocket firing",frng
WP,Parachute jumping exercise,pje
WS,Burning or blowing gas,burning or blowing gas
WT,Mass movement of aircraft,mass mov of acft
WV,Formation flight,formation flt
WZ,model flying,model flying
OA,Aeronautical information service,ais
OB,Obstacle,obst
OE,Aircraft entry requirements,acft entry rqmnts
OL,Obstacle lights on,obst lgt
OR,Rescue coordination centre,rcc
KK, ,
